url,primary_category,secondary_category,product_category
https://www.bigbasket.com/pc/snacks-branded-foods/pickles-chutney/other-veg-pickle/,snacks-branded-foods,pickles-chutney,other-veg-pickle
https://www.bigbasket.com/pc/snacks-branded-foods/pickles-chutney/non-veg-pickle/,snacks-branded-foods,pickles-chutney,non-veg-pickle
https://www.bigbasket.com/pc/snacks-branded-foods/indian-mithai/chikki-gajjak/,snacks-branded-foods,indian-mithai,chikki-gajjak
https://www.bigbasket.com/pc/snacks-branded-foods/indian-mithai/tinned-packed-sweets/,snacks-branded-foods,indian-mithai,tinned-packed-sweets
https://www.bigbasket.com/pc/snacks-branded-foods/indian-mithai/fresh-sweets/,snacks-branded-foods,indian-mithai,fresh-sweets
https://www.bigbasket.com/pc/eggs-meat-fish/eggs/farm-eggs/,eggs-meat-fish,eggs,farm-eggs
https://www.bigbasket.com/pc/eggs-meat-fish/eggs/country-eggs/,eggs-meat-fish,eggs,country-eggs
https://www.bigbasket.com/pc/eggs-meat-fish/eggs/protein-eggs/,eggs-meat-fish,eggs,protein-eggs
https://www.bigbasket.com/pc/eggs-meat-fish/eggs/organic-eggs/,eggs-meat-fish,eggs,organic-eggs
https://www.bigbasket.com/pc/eggs-meat-fish/eggs/other-eggs/,eggs-meat-fish,eggs,other-eggs
https://www.bigbasket.com/pc/eggs-meat-fish/poultry/turkey/,eggs-meat-fish,poultry,turkey
https://www.bigbasket.com/pc/eggs-meat-fish/poultry/fresh-chicken/,eggs-meat-fish,poultry,fresh-chicken
https://www.bigbasket.com/pc/eggs-meat-fish/poultry/frozen-chicken/,eggs-meat-fish,poultry,frozen-chicken
https://www.bigbasket.com/pc/eggs-meat-fish/sausages-bacon-salami/chicken-sausages/,eggs-meat-fish,sausages-bacon-salami,chicken-sausages
https://www.bigbasket.com/pc/eggs-meat-fish/sausages-bacon-salami/pork-ham/,eggs-meat-fish,sausages-bacon-salami,pork-ham
https://www.bigbasket.com/pc/eggs-meat-fish/sausages-bacon-salami/turkey-duck/,eggs-meat-fish,sausages-bacon-salami,turkey-duck
https://www.bigbasket.com/pc/eggs-meat-fish/sausages-bacon-salami/lamb/,eggs-meat-fish,sausages-bacon-salami,lamb
https://www.bigbasket.com/pc/eggs-meat-fish/mutton-lamb/fresh-mutton/,eggs-meat-fish,mutton-lamb,fresh-mutton
https://www.bigbasket.com/pc/eggs-meat-fish/mutton-lamb/frozen-mutton/,eggs-meat-fish,mutton-lamb,frozen-mutton
https://www.bigbasket.com/pc/eggs-meat-fish/marinades/marinated-meat/,eggs-meat-fish,marinades,marinated-meat
https://www.bigbasket.com/pc/eggs-meat-fish/fish-seafood/fresh-water-fish/,eggs-meat-fish,fish-seafood,fresh-water-fish
https://www.bigbasket.com/pc/eggs-meat-fish/fish-seafood/dry-fish/,eggs-meat-fish,fish-seafood,dry-fish
https://www.bigbasket.com/pc/eggs-meat-fish/fish-seafood/frozen-fish-seafood/,eggs-meat-fish,fish-seafood,frozen-fish-seafood
https://www.bigbasket.com/pc/eggs-meat-fish/fish-seafood/marine-water-fish/,eggs-meat-fish,fish-seafood,marine-water-fish
https://www.bigbasket.com/pc/eggs-meat-fish/fish-seafood/canned-seafood/,eggs-meat-fish,fish-seafood,canned-seafood
https://www.bigbasket.com/pc/eggs-meat-fish/fish-seafood/prawns-shrimps/,eggs-meat-fish,fish-seafood,prawns-shrimps
https://www.bigbasket.com/pc/eggs-meat-fish/fish-seafood/other-seafood/,eggs-meat-fish,fish-seafood,other-seafood
https://www.bigbasket.com/pc/eggs-meat-fish/pork-other-meats/fresh-frozen-pork/,eggs-meat-fish,pork-other-meats,fresh-frozen-pork
https://www.bigbasket.com/pc/gourmet-world-food/oils-vinegar/extra-virgin-olive-oil/,gourmet-world-food,oils-vinegar,extra-virgin-olive-oil
https://www.bigbasket.com/pc/gourmet-world-food/oils-vinegar/canola-rapeseed-oil/,gourmet-world-food,oils-vinegar,canola-rapeseed-oil
https://www.bigbasket.com/pc/gourmet-world-food/oils-vinegar/pure-pomace-olive-oil/,gourmet-world-food,oils-vinegar,pure-pomace-olive-oil
https://www.bigbasket.com/pc/gourmet-world-food/oils-vinegar/balsamic-cider-vinegar/,gourmet-world-food,oils-vinegar,balsamic-cider-vinegar
https://www.bigbasket.com/pc/gourmet-world-food/oils-vinegar/organic-cold-press-oil/,gourmet-world-food,oils-vinegar,organic-cold-press-oil
https://www.bigbasket.com/pc/gourmet-world-food/oils-vinegar/regular-white-vinegar/,gourmet-world-food,oils-vinegar,regular-white-vinegar
https://www.bigbasket.com/pc/gourmet-world-food/oils-vinegar/flavoured-other-oils/,gourmet-world-food,oils-vinegar,flavoured-other-oils
